,payment_type,payment_installments,customer_city,price,product_category_name
44,credit_card,4,rio de janeiro,119.99,telefonia
45,boleto,1,rio de janeiro,99.56,informatica_acessorios
46,boleto,1,sao paulo,26.9,cama_mesa_banho
47,credit_card,5,rio de janeiro,74.99,utilidades_domesticas
48,credit_card,8,brasilia,250.0,cama_mesa_banho
49,credit_card,3,sao paulo,32.5,consoles_games
50,boleto,1,sao paulo,29.9,relogios_presentes
51,boleto,1,sao paulo,18.3,telefonia
52,credit_card,10,guarulhos,1999.0,cool_stuff
53,credit_card,1,sao paulo,35.0,fashion_bolsas_e_acessorios
58,boleto,1,sao paulo,23.9,beleza_saude
59,credit_card,1,guarulhos,29.99,moveis_decoracao
60,voucher,1,sao paulo,129.8,brinquedos
63,credit_card,4,sao paulo,24.99,perfumaria
64,credit_card,3,curitiba,229.9,esporte_lazer
65,credit_card,1,brasilia,24.9,cama_mesa_banho
66,credit_card,10,brasilia,329.9,perfumaria
67,credit_card,2,sao paulo,18.9,beleza_saude
68,credit_card,1,sao paulo,326.0,construcao_ferramentas_iluminacao
69,credit_card,6,rio de janeiro,179.99,ferramentas_jardim
70,credit_card,3,sao paulo,85.39,utilidades_domesticas
71,voucher,1,sao paulo,415.99,eletronicos
73,boleto,1,rio de janeiro,79.0,informatica_acessorios
74,credit_card,1,sao paulo,44.99,moveis_decoracao
75,credit_card,1,sao paulo,35.0,cool_stuff
76,credit_card,1,sao paulo,125.19,eletrodomesticos
77,boleto,1,porto alegre,45.8,moveis_decoracao
79,boleto,1,curitiba,19.9,eletronicos
80,credit_card,1,rio de janeiro,21.0,beleza_saude
81,credit_card,6,sao paulo,59.9,moveis_sala
82,credit_card,10,campinas,299.99,beleza_saude
83,boleto,1,campinas,188.1,informatica_acessorios
85,boleto,1,sao paulo,36.9,pet_shop
86,credit_card,10,sao paulo,179.96,moveis_escritorio
87,credit_card,2,sao paulo,58.0,brinquedos
88,credit_card,3,rio de janeiro,119.99,brinquedos
93,credit_card,10,curitiba,2249.0,beleza_saude
94,boleto,1,sao paulo,75.0,moveis_decoracao
95,credit_card,2,sao paulo,129.0,esporte_lazer
96,debit_card,1,belo horizonte,89.9,cama_mesa_banho
98,boleto,1,rio de janeiro,24.5,consoles_games
99,credit_card,10,sao paulo,129.9,utilidades_domesticas
100,credit_card,1,sao paulo,44.99,utilidades_domesticas
101,voucher,1,sao paulo,29.99,livros_interesse_geral
103,credit_card,5,campinas,110.32,beleza_saude
104,credit_card,1,sao paulo,320.0,brinquedos
105,credit_card,2,sao paulo,97.0,cool_stuff
106,credit_card,4,curitiba,16.48,esporte_lazer
108,credit_card,10,curitiba,330.99,utilidades_domesticas
109,voucher,1,brasilia,18.99,telefonia
112,credit_card,2,rio de janeiro,49.9,bebes
113,credit_card,3,guarulhos,49.9,utilidades_domesticas
115,credit_card,3,sao paulo,38.9,beleza_saude
116,credit_card,5,sao paulo,104.99,beleza_saude
117,credit_card,2,sao paulo,98.0,informatica_acessorios
118,credit_card,10,rio de janeiro,169.9,papelaria
119,credit_card,2,sao paulo,10.0,utilidades_domesticas
120,credit_card,2,guarulhos,18.9,eletronicos
121,credit_card,3,sao paulo,179.99,cool_stuff
122,credit_card,1,sao paulo,12.9,bebes
123,boleto,1,rio de janeiro,11.99,telefonia
124,credit_card,1,sao paulo,32.9,ferramentas_jardim
125,credit_card,5,sao paulo,119.0,esporte_lazer
126,credit_card,1,rio de janeiro,51.9,informatica_acessorios
127,credit_card,2,brasilia,75.0,malas_acessorios
128,credit_card,4,sao paulo,34.9,telefonia_fixa
129,credit_card,5,campinas,109.99,cama_mesa_banho
130,credit_card,1,sao paulo,35.0,utilidades_domesticas
131,boleto,1,rio de janeiro,109.95,esporte_lazer
132,voucher,1,campinas,41.79,esporte_lazer
133,boleto,1,sao paulo,51.0,informatica_acessorios
134,credit_card,3,rio de janeiro,415.99,eletronicos
135,credit_card,10,brasilia,299.0,moveis_decoracao
137,credit_card,1,sao paulo,369.9,malas_acessorios
138,boleto,1,campinas,144.9,cama_mesa_banho
139,credit_card,10,rio de janeiro,37.5,moveis_decoracao
141,credit_card,8,rio de janeiro,349.9,beleza_saude
142,credit_card,2,rio de janeiro,35.9,perfumaria
143,credit_card,5,belo horizonte,103.8,eletroportateis
144,debit_card,1,guarulhos,29.99,telefonia
145,voucher,1,salvador,19.99,esporte_lazer
147,credit_card,2,sao paulo,109.9,bebes
148,credit_card,6,sao paulo,74.9,livros_interesse_geral
149,credit_card,4,brasilia,299.9,utilidades_domesticas
151,boleto,1,sao paulo,119.99,eletronicos
152,credit_card,5,campinas,43.0,cama_mesa_banho
153,credit_card,7,salvador,120.0,utilidades_domesticas
154,credit_card,1,sao paulo,12.88,informatica_acessorios
155,boleto,1,porto alegre,349.9,beleza_saude
156,credit_card,10,rio de janeiro,369.8,relogios_presentes
157,credit_card,10,sao paulo,93.0,cama_mesa_banho
158,boleto,1,sao paulo,225.0,esporte_lazer
159,credit_card,10,rio de janeiro,99.9,cama_mesa_banho
160,boleto,1,sao paulo,58.9,utilidades_domesticas
161,boleto,1,belo horizonte,39.9,esporte_lazer
162,credit_card,3,rio de janeiro,21.9,eletronicos
163,credit_card,3,campinas,78.25,relogios_presentes
165,credit_card,10,rio de janeiro,550.0,beleza_saude
166,credit_card,1,sao paulo,50.2,informatica_acessorios
167,credit_card,8,sao paulo,399.0,cama_mesa_banho
168,credit_card,2,sao paulo,369.0,beleza_saude
169,credit_card,1,sao paulo,13.65,eletronicos
170,credit_card,1,sao paulo,96.0,pet_shop
171,credit_card,1,guarulhos,159.9,cama_mesa_banho
172,credit_card,2,sao paulo,132.8,moveis_decoracao
173,credit_card,4,rio de janeiro,29.9,bebes
174,credit_card,4,sao paulo,52.64,cama_mesa_banho
175,credit_card,8,belo horizonte,169.99,utilidades_domesticas
176,boleto,1,sao paulo,94.9,brinquedos
177,credit_card,1,curitiba,27.61,esporte_lazer
178,credit_card,1,rio de janeiro,59.9,ferramentas_jardim
179,boleto,1,curitiba,34.0,moveis_decoracao
180,debit_card,1,campinas,249.9,cama_mesa_banho
181,credit_card,5,curitiba,112.99,informatica_acessorios
182,credit_card,5,belo horizonte,135.0,pet_shop
183,credit_card,2,sao paulo,21.7,casa_construcao
184,credit_card,5,rio de janeiro,14.0,eletronicos
188,credit_card,6,salvador,79.0,fashion_bolsas_e_acessorios
190,credit_card,3,sao paulo,235.0,cama_mesa_banho
191,boleto,1,rio de janeiro,29.9,utilidades_domesticas
192,voucher,1,rio de janeiro,25.0,utilidades_domesticas
194,credit_card,1,sao paulo,139.9,eletronicos
195,credit_card,4,sao paulo,199.9,moveis_escritorio
196,credit_card,4,sao paulo,56.0,brinquedos
197,credit_card,1,sao paulo,59.99,pet_shop
198,credit_card,2,porto alegre,59.9,esporte_lazer
199,credit_card,2,sao paulo,155.0,informatica_acessorios
200,credit_card,2,rio de janeiro,74.8,informatica_acessorios
201,credit_card,5,sao paulo,249.99,moveis_decoracao
202,debit_card,1,sao paulo,24.5,consoles_games
203,credit_card,7,sao paulo,58.99,beleza_saude
204,credit_card,3,belo horizonte,199.0,relogios_presentes
205,credit_card,2,rio de janeiro,13.98,telefonia
206,voucher,1,belo horizonte,44.79,bebes
207,boleto,1,curitiba,73.98,esporte_lazer
208,credit_card,3,sao paulo,144.9,informatica_acessorios
209,credit_card,1,sao paulo,11.55,eletronicos
210,credit_card,3,rio de janeiro,45.0,esporte_lazer
212,credit_card,1,campinas,56.99,bebes
213,credit_card,1,belo horizonte,79.9,brinquedos
214,debit_card,1,porto alegre,119.9,moveis_decoracao
215,credit_card,10,sao paulo,299.0,eletroportateis
216,boleto,1,rio de janeiro,94.9,moveis_escritorio
218,boleto,1,sao paulo,179.9,utilidades_domesticas
219,credit_card,1,sao paulo,78.64,utilidades_domesticas
220,boleto,1,sao paulo,110.9,brinquedos
221,credit_card,10,belo horizonte,289.0,perfumaria
222,credit_card,2,guarulhos,99.9,pet_shop
223,credit_card,6,sao paulo,299.9,moveis_decoracao
224,credit_card,8,sao paulo,379.94,construcao_ferramentas_seguranca
225,debit_card,1,rio de janeiro,82.99,esporte_lazer
226,credit_card,1,belo horizonte,29.99,informatica_acessorios
227,boleto,1,belo horizonte,31.9,informatica_acessorios
228,credit_card,8,sao paulo,299.0,cama_mesa_banho
229,credit_card,2,campinas,23.9,esporte_lazer
230,credit_card,8,campinas,169.99,moveis_sala
231,credit_card,4,rio de janeiro,189.45,moveis_decoracao
232,boleto,1,curitiba,32.9,eletrodomesticos_2
233,credit_card,1,sao paulo,35.0,beleza_saude
236,boleto,1,rio de janeiro,549.9,cool_stuff
237,credit_card,2,salvador,22.32,informatica_acessorios
238,credit_card,6,sao paulo,125.0,utilidades_domesticas
239,credit_card,4,sao paulo,16.9,moveis_decoracao
241,credit_card,3,guarulhos,133.9,livros_interesse_geral
242,boleto,1,belo horizonte,69.9,ferramentas_jardim
244,credit_card,3,rio de janeiro,125.0,telefonia_fixa
245,credit_card,1,rio de janeiro,68.9,moveis_decoracao
253,credit_card,4,sao paulo,35.9,esporte_lazer
255,credit_card,1,sao paulo,3.5,automotivo
256,credit_card,3,rio de janeiro,99.9,cama_mesa_banho
257,credit_card,3,sao paulo,129.0,cama_mesa_banho
258,credit_card,10,rio de janeiro,1399.0,eletroportateis
259,voucher,1,salvador,26.9,esporte_lazer
260,credit_card,6,sao paulo,133.9,cool_stuff
261,credit_card,1,rio de janeiro,149.99,beleza_saude
262,credit_card,3,sao paulo,75.0,utilidades_domesticas
263,debit_card,1,sao paulo,10.0,informatica_acessorios
264,boleto,1,sao paulo,79.0,papelaria
266,credit_card,1,brasilia,18.9,eletronicos
267,credit_card,2,belo horizonte,133.0,informatica_acessorios
268,boleto,1,sao paulo,59.3,bebidas
269,credit_card,5,rio de janeiro,85.39,utilidades_domesticas
270,credit_card,8,rio de janeiro,399.9,perfumaria
271,credit_card,3,sao paulo,69.99,beleza_saude
273,credit_card,3,sao paulo,69.99,consoles_games
275,credit_card,2,belo horizonte,189.0,audio
276,credit_card,1,sao paulo,13.65,eletronicos
277,credit_card,1,rio de janeiro,21.99,beleza_saude
278,boleto,1,sao paulo,14.99,beleza_saude
280,credit_card,2,rio de janeiro,149.0,informatica_acessorios
281,credit_card,1,rio de janeiro,14.89,eletronicos
283,credit_card,2,rio de janeiro,44.9,cama_mesa_banho
284,credit_card,2,belo horizonte,49.0,fashion_bolsas_e_acessorios
285,credit_card,2,sao paulo,35.9,cama_mesa_banho
286,debit_card,1,rio de janeiro,18.99,telefonia
287,credit_card,2,sao paulo,179.49,automotivo
288,credit_card,5,rio de janeiro,89.99,beleza_saude
289,credit_card,1,rio de janeiro,135.9,eletronicos
290,voucher,1,rio de janeiro,146.7,moveis_decoracao
292,credit_card,1,rio de janeiro,59.9,esporte_lazer
293,credit_card,1,rio de janeiro,79.9,utilidades_domesticas
294,credit_card,1,sao paulo,389.9,utilidades_domesticas
295,credit_card,3,sao paulo,148.9,relogios_presentes
296,credit_card,4,rio de janeiro,135.0,cama_mesa_banho
297,boleto,1,sao paulo,96.0,moveis_decoracao
298,credit_card,2,rio de janeiro,49.0,relogios_presentes
299,credit_card,1,sao paulo,28.3,sinalizacao_e_seguranca
300,credit_card,1,rio de janeiro,137.9,informatica_acessorios
304,credit_card,1,sao paulo,122.67,beleza_saude
305,credit_card,1,sao paulo,47.9,cama_mesa_banho
306,credit_card,1,sao paulo,30.21,informatica_acessorios
307,credit_card,4,campinas,34.05,esporte_lazer
308,credit_card,1,sao paulo,14.9,esporte_lazer
310,boleto,1,sao paulo,87.5,utilidades_domesticas
311,credit_card,1,sao paulo,78.0,relogios_presentes
312,credit_card,1,sao paulo,69.9,pet_shop
314,credit_card,1,sao paulo,24.99,telefonia
315,credit_card,1,sao paulo,18.99,eletronicos
316,credit_card,1,sao paulo,40.8,alimentos_bebidas
317,credit_card,1,porto alegre,24.99,bebes
318,credit_card,10,rio de janeiro,89.99,brinquedos
319,credit_card,10,sao paulo,198.9,moveis_decoracao
321,credit_card,3,belo horizonte,169.0,construcao_ferramentas_construcao
322,credit_card,7,sao paulo,127.0,relogios_presentes
323,boleto,1,sao paulo,19.9,telefonia
324,voucher,1,sao paulo,119.9,moveis_decoracao
326,credit_card,5,sao paulo,99.9,cama_mesa_banho
327,credit_card,1,sao paulo,119.9,automotivo
328,boleto,1,sao paulo,399.0,beleza_saude
329,credit_card,2,sao paulo,56.99,cama_mesa_banho
330,credit_card,10,belo horizonte,238.99,pet_shop
331,credit_card,3,brasilia,89.9,cama_mesa_banho
332,credit_card,1,sao paulo,115.0,cama_mesa_banho
334,credit_card,1,sao paulo,60.0,cama_mesa_banho
336,credit_card,1,sao paulo,77.0,livros_importados
337,boleto,1,belo horizonte,89.9,cama_mesa_banho
338,credit_card,1,guarulhos,28.9,pet_shop
339,credit_card,4,sao paulo,13.99,pet_shop
341,credit_card,1,curitiba,179.0,utilidades_domesticas
342,boleto,1,sao paulo,239.99,cool_stuff
343,credit_card,1,rio de janeiro,44.99,utilidades_domesticas
346,credit_card,3,guarulhos,119.9,automotivo
347,credit_card,3,rio de janeiro,79.0,informatica_acessorios
348,boleto,1,sao paulo,49.7,eletroportateis
349,credit_card,6,belo horizonte,82.9,utilidades_domesticas
350,voucher,1,brasilia,69.0,fashion_bolsas_e_acessorios
352,credit_card,4,sao paulo,10.9,moveis_decoracao
357,credit_card,1,curitiba,94.9,brinquedos
358,credit_card,8,sao paulo,329.9,automotivo
359,voucher,1,salvador,47.8,informatica_acessorios
361,boleto,1,rio de janeiro,39.9,cama_mesa_banho
362,credit_card,1,sao paulo,118.99,cool_stuff
363,credit_card,1,sao paulo,120.0,pet_shop
364,credit_card,1,sao paulo,14.99,pet_shop
367,credit_card,3,belo horizonte,57.99,pet_shop
368,credit_card,8,belo horizonte,119.9,beleza_saude
369,credit_card,1,guarulhos,29.0,construcao_ferramentas_iluminacao
371,boleto,1,sao paulo,140.0,informatica_acessorios
372,boleto,1,campinas,79.9,informatica_acessorios
373,credit_card,2,rio de janeiro,59.9,utilidades_domesticas
374,credit_card,5,rio de janeiro,249.9,moveis_decoracao
375,credit_card,2,brasilia,69.9,moveis_decoracao
376,boleto,1,sao paulo,45.9,telefonia
378,credit_card,3,sao paulo,149.9,sinalizacao_e_seguranca
379,credit_card,2,rio de janeiro,14.6,eletronicos
380,credit_card,1,sao paulo,16.08,beleza_saude
381,credit_card,1,brasilia,59.9,moveis_decoracao
382,voucher,1,sao paulo,49.9,moveis_decoracao
390,boleto,1,campinas,28.9,utilidades_domesticas
391,credit_card,6,belo horizonte,89.9,cama_mesa_banho
392,credit_card,1,sao paulo,45.0,esporte_lazer
393,debit_card,1,sao paulo,325.0,beleza_saude
394,credit_card,6,rio de janeiro,69.99,brinquedos
395,voucher,1,sao paulo,89.9,utilidades_domesticas
408,credit_card,2,rio de janeiro,139.0,brinquedos
409,voucher,1,sao paulo,262.39,beleza_saude
411,credit_card,5,rio de janeiro,155.97,relogios_presentes
412,credit_card,2,rio de janeiro,149.0,informatica_acessorios
413,boleto,1,curitiba,49.0,utilidades_domesticas
414,credit_card,1,porto alegre,105.6,cool_stuff
416,credit_card,2,sao paulo,35.0,utilidades_domesticas
417,boleto,1,porto alegre,16.99,utilidades_domesticas
418,credit_card,2,sao paulo,51.0,cama_mesa_banho
419,credit_card,1,sao paulo,42.0,esporte_lazer
420,boleto,1,rio de janeiro,114.99,moveis_escritorio
421,credit_card,6,sao paulo,99.9,moveis_decoracao
422,debit_card,1,sao paulo,16.49,automotivo
423,credit_card,5,sao paulo,44.0,papelaria
424,credit_card,1,rio de janeiro,139.99,beleza_saude
425,credit_card,3,curitiba,230.0,moveis_decoracao
426,boleto,1,rio de janeiro,18.99,telefonia
427,voucher,1,curitiba,3.9,informatica_acessorios
433,boleto,1,sao paulo,34.9,eletronicos
434,credit_card,2,belo horizonte,39.9,beleza_saude
435,credit_card,5,sao paulo,39.99,cama_mesa_banho
436,credit_card,4,campinas,87.9,esporte_lazer
437,boleto,1,brasilia,42.9,bebes
438,credit_card,1,belo horizonte,20.0,beleza_saude
439,credit_card,6,sao paulo,51.2,bebes
440,credit_card,2,sao paulo,89.0,papelaria
441,boleto,1,curitiba,95.99,ferramentas_jardim
443,credit_card,1,rio de janeiro,7.9,papelaria
445,debit_card,1,belo horizonte,49.9,esporte_lazer
446,credit_card,1,sao paulo,34.9,brinquedos
447,credit_card,1,sao paulo,27.9,automotivo
448,credit_card,10,sao paulo,182.0,cama_mesa_banho
449,credit_card,1,salvador,108.99,livros_tecnicos
450,credit_card,10,sao paulo,159.9,moveis_decoracao
451,credit_card,6,sao paulo,120.0,utilidades_domesticas
452,boleto,1,sao paulo,99.9,relogios_presentes
453,credit_card,1,sao paulo,120.0,cool_stuff
454,credit_card,8,rio de janeiro,375.0,cama_mesa_banho
455,credit_card,2,rio de janeiro,1299.9,beleza_saude
456,credit_card,3,sao paulo,80.0,construcao_ferramentas_construcao
457,credit_card,4,brasilia,69.99,consoles_games
458,credit_card,1,belo horizonte,64.9,cama_mesa_banho
459,credit_card,1,brasilia,15.9,audio
460,credit_card,1,sao paulo,24.99,informatica_acessorios
462,boleto,1,brasilia,5.9,utilidades_domesticas
463,credit_card,2,belo horizonte,126.12,informatica_acessorios
464,credit_card,6,brasilia,269.9,malas_acessorios
465,voucher,1,sao paulo,194.9,relogios_presentes
469,boleto,1,curitiba,49.0,relogios_presentes
470,credit_card,1,sao paulo,37.4,automotivo
471,debit_card,1,rio de janeiro,385.26,telefonia_fixa
472,voucher,1,guarulhos,79.9,ferramentas_jardim
483,boleto,1,guarulhos,166.02,informatica_acessorios
484,credit_card,1,sao paulo,12.5,telefonia
486,credit_card,3,brasilia,89.99,beleza_saude
487,credit_card,1,sao paulo,2749.65,beleza_saude
488,credit_card,5,rio de janeiro,5.3,eletronicos
492,credit_card,3,salvador,15.9,informatica_acessorios
493,boleto,1,sao paulo,152.0,beleza_saude
494,credit_card,4,brasilia,68.88,utilidades_domesticas
495,credit_card,9,rio de janeiro,79.99,perfumaria
496,credit_card,4,sao paulo,69.2,pet_shop
497,credit_card,3,rio de janeiro,44.9,utilidades_domesticas
498,credit_card,1,sao paulo,44.9,papelaria
500,boleto,1,sao paulo,99.99,cama_mesa_banho
501,credit_card,1,sao paulo,144.9,moveis_escritorio
502,credit_card,1,sao paulo,119.0,perfumaria
503,voucher,1,sao paulo,118.9,malas_acessorios
505,boleto,1,sao paulo,79.9,brinquedos
506,boleto,1,sao paulo,289.0,ferramentas_jardim
507,credit_card,10,rio de janeiro,159.69,cama_mesa_banho
508,credit_card,3,sao paulo,73.9,brinquedos
509,boleto,1,porto alegre,179.0,moveis_decoracao
510,voucher,1,salvador,23.9,papelaria
511,credit_card,3,belo horizonte,99.0,perfumaria
512,credit_card,5,sao paulo,49.7,moveis_decoracao
513,credit_card,1,sao paulo,29.59,perfumaria
514,credit_card,1,rio de janeiro,44.9,moveis_decoracao
515,credit_card,4,sao paulo,75.0,moveis_decoracao
517,credit_card,2,sao paulo,52.65,fashion_bolsas_e_acessorios
518,credit_card,2,sao paulo,89.0,cama_mesa_banho
519,credit_card,1,sao paulo,129.9,automotivo
520,credit_card,3,porto alegre,53.9,cama_mesa_banho
521,credit_card,8,curitiba,149.9,cama_mesa_banho
522,credit_card,10,rio de janeiro,149.99,brinquedos
523,credit_card,1,salvador,67.9,esporte_lazer
524,credit_card,5,curitiba,34.9,utilidades_domesticas
525,credit_card,1,brasilia,98.99,esporte_lazer
526,credit_card,1,rio de janeiro,37.99,eletrodomesticos
527,credit_card,4,rio de janeiro,219.0,relogios_presentes
528,boleto,1,belo horizonte,69.9,papelaria
530,credit_card,2,sao paulo,89.99,beleza_saude
531,credit_card,1,rio de janeiro,41.9,esporte_lazer
532,debit_card,1,campinas,14.99,eletronicos
533,credit_card,2,sao paulo,14.45,utilidades_domesticas
534,credit_card,10,sao paulo,999.0,relogios_presentes
535,credit_card,4,guarulhos,209.9,relogios_presentes
536,credit_card,2,sao paulo,186.6,perfumaria
537,credit_card,1,curitiba,89.5,informatica_acessorios
538,credit_card,1,porto alegre,199.0,telefonia
540,credit_card,1,rio de janeiro,107.9,telefonia
541,boleto,1,curitiba,114.94,moveis_escritorio
542,credit_card,10,curitiba,269.0,casa_conforto
543,credit_card,1,rio de janeiro,12.0,informatica_acessorios
544,credit_card,6,sao paulo,149.9,bebes
545,credit_card,2,sao paulo,24.0,beleza_saude
547,credit_card,4,porto alegre,198.0,brinquedos
548,credit_card,6,rio de janeiro,39.9,utilidades_domesticas
549,boleto,1,sao paulo,34.9,utilidades_domesticas
552,credit_card,2,salvador,115.0,livros_interesse_geral
553,boleto,1,curitiba,49.9,informatica_acessorios
554,credit_card,1,sao paulo,85.0,utilidades_domesticas
555,credit_card,5,curitiba,193.0,eletroportateis
556,credit_card,1,sao paulo,81.99,informatica_acessorios
557,credit_card,6,rio de janeiro,139.0,cama_mesa_banho
558,voucher,1,rio de janeiro,120.0,ferramentas_jardim
566,credit_card,1,curitiba,89.9,informatica_acessorios
567,credit_card,6,guarulhos,61.5,moveis_escritorio
568,credit_card,3,rio de janeiro,54.9,cama_mesa_banho
569,credit_card,5,porto alegre,56.99,perfumaria
570,credit_card,4,sao paulo,79.99,perfumaria
571,credit_card,3,curitiba,177.99,utilidades_domesticas
572,credit_card,1,sao paulo,99.9,esporte_lazer
573,credit_card,1,sao paulo,72.0,informatica_acessorios
574,credit_card,10,belo horizonte,49.0,ferramentas_jardim
576,credit_card,8,sao paulo,149.9,cama_mesa_banho
577,credit_card,1,curitiba,139.0,pet_shop
578,debit_card,1,sao paulo,15.99,informatica_acessorios
579,boleto,1,sao paulo,37.9,fashion_bolsas_e_acessorios
580,credit_card,1,sao paulo,25.2,eletrodomesticos
581,credit_card,3,sao paulo,35.0,moveis_decoracao
584,voucher,1,sao paulo,34.9,utilidades_domesticas
586,credit_card,5,campinas,39.99,esporte_lazer
587,credit_card,7,belo horizonte,380.0,moveis_escritorio
588,credit_card,3,rio de janeiro,39.99,cama_mesa_banho
589,credit_card,2,rio de janeiro,134.9,fraldas_higiene
590,credit_card,6,salvador,299.45,pet_shop
591,credit_card,5,salvador,160.0,casa_construcao
593,credit_card,12,sao paulo,109.9,cama_mesa_banho
594,voucher,1,sao paulo,1149.0,utilidades_domesticas
596,credit_card,2,salvador,109.9,moveis_decoracao
597,boleto,1,campinas,49.5,cool_stuff
599,voucher,1,brasilia,30.5,brinquedos
600,credit_card,7,sao paulo,65.0,cama_mesa_banho
601,credit_card,10,sao paulo,535.9,beleza_saude
602,credit_card,4,sao paulo,39.9,informatica_acessorios
603,boleto,1,rio de janeiro,29.0,relogios_presentes
604,credit_card,1,belo horizonte,199.0,telefonia
605,credit_card,2,sao paulo,62.0,cama_mesa_banho
607,boleto,1,curitiba,59.99,esporte_lazer
608,credit_card,3,belo horizonte,49.0,fashion_bolsas_e_acessorios
609,credit_card,1,rio de janeiro,29.9,moveis_decoracao
611,credit_card,6,belo horizonte,319.9,cool_stuff
612,credit_card,2,rio de janeiro,90.9,utilidades_domesticas
613,voucher,1,sao paulo,49.9,telefonia
620,credit_card,10,sao paulo,124.9,esporte_lazer
621,credit_card,2,rio de janeiro,435.19,construcao_ferramentas_seguranca
622,credit_card,1,rio de janeiro,28.9,utilidades_domesticas
623,credit_card,2,sao paulo,955.0,instrumentos_musicais
624,credit_card,10,brasilia,238.81,informatica_acessorios
626,credit_card,3,rio de janeiro,43.99,cama_mesa_banho
627,credit_card,12,rio de janeiro,154.9,papelaria
628,credit_card,1,rio de janeiro,49.99,telefonia
629,voucher,1,sao paulo,54.7,casa_construcao
641,credit_card,2,rio de janeiro,220.99,beleza_saude
642,credit_card,2,campinas,79.9,brinquedos
643,credit_card,4,porto alegre,14.99,beleza_saude
645,credit_card,5,rio de janeiro,40.35,cama_mesa_banho
646,credit_card,2,salvador,11.87,telefonia
647,credit_card,2,sao paulo,56.99,cama_mesa_banho
648,boleto,1,salvador,17.55,esporte_lazer
652,credit_card,1,belo horizonte,69.99,bebes
658,credit_card,1,brasilia,28.99,telefonia
659,credit_card,4,campinas,40.9,moveis_decoracao
660,debit_card,1,belo horizonte,109.9,informatica_acessorios
661,credit_card,1,rio de janeiro,57.99,brinquedos
662,credit_card,5,curitiba,82.98,utilidades_domesticas
663,credit_card,5,rio de janeiro,99.0,moveis_decoracao
664,credit_card,2,belo horizonte,209.0,eletrodomesticos_2
665,credit_card,1,curitiba,489.0,construcao_ferramentas_construcao
666,credit_card,2,belo horizonte,27.9,bebes
667,credit_card,1,guarulhos,12.88,informatica_acessorios
668,credit_card,1,sao paulo,108.0,relogios_presentes
669,boleto,1,salvador,137.9,informatica_acessorios
675,credit_card,2,rio de janeiro,74.9,cama_mesa_banho
676,boleto,1,sao paulo,165.66,automotivo
677,credit_card,2,brasilia,179.0,esporte_lazer
678,credit_card,2,salvador,89.9,casa_conforto
679,boleto,1,sao paulo,29.99,desconocida
680,credit_card,1,sao paulo,48.9,cool_stuff
681,credit_card,1,sao paulo,89.9,cama_mesa_banho
683,credit_card,3,porto alegre,44.9,cama_mesa_banho
684,boleto,1,campinas,32.99,automotivo
685,debit_card,1,sao paulo,12.0,beleza_saude
687,credit_card,5,sao paulo,17.0,alimentos_bebidas
689,credit_card,1,sao paulo,21.99,telefonia
690,voucher,1,sao paulo,49.99,esporte_lazer
691,debit_card,1,sao paulo,20.2,esporte_lazer
692,voucher,1,rio de janeiro,44.9,cama_mesa_banho
694,credit_card,1,belo horizonte,179.0,ferramentas_jardim
695,credit_card,1,sao paulo,25.0,desconocida
696,credit_card,2,campinas,16.9,perfumaria
